,year,GeoLocation
5342,1994.0,Australia
5343,1994.0,Australia
5344,1994.0,Australia
5345,1994.0,Australia
5347,1993.0,Australia
5348,1993.0,Australia
5349,1993.0,Australia
5350,1993.0,Australia
5351,1993.0,Australia
5352,1993.0,Australia
5353,1993.0,Australia
5354,1993.0,Australia
5355,1993.0,Australia
5356,1993.0,Australia
5357,1993.0,Australia
5358,1993.0,Australia
5359,2008.0,Australia
5360,2009.0,United States
5363,1992.0,Brazil
5375,2004.0,Niger
5379,2000.0,United States
5398,2003.0,Italy
5401,2010.0,Chile
5402,1999.0,Chile
5403,2010.0,Chile
5404,2010.0,Chile
5405,2010.0,Chile
5406,2010.0,Chile
5407,2011.0,Chile
5408,2012.0,Chile
5409,2010.0,Chile
5410,2010.0,Chile
5411,2010.0,Chile
5412,2010.0,Chile
5413,2010.0,Chile
5414,2009.0,Chile
5415,2010.0,Chile
5416,2010.0,Chile
5417,2010.0,Chile
5418,2010.0,Chile
5419,2010.0,Chile
5420,2009.0,Chile
5421,2009.0,Chile
5422,2009.0,Chile
5423,2009.0,Chile
5424,2010.0,Chile
5425,2010.0,Chile
5426,2010.0,Chile
5427,2010.0,Chile
5428,2010.0,Chile
5429,2010.0,Chile
5430,2010.0,Chile
5431,2010.0,Chile
5432,2011.0,Chile
5433,2011.0,Chile
5435,1992.0,United States
5441,1997.0,Chile
5442,2002.0,Peru
5447,2009.0,United States
5453,2003.0,Russia
5455,2004.0,United States
5464,2004.0,United States
5465,1991.0,Australia
5466,1992.0,United States
5495,2006.0,United States
5500,1991.0,United States
5506,1993.0,United States
5507,1997.0,United States
5513,2006.0,United States
5515,2000.0,France
5520,1991.0,Australia
5521,1990.0,Australia
5522,1991.0,Australia
5524,1991.0,Australia
5525,1991.0,Australia
5526,1991.0,Australia
5527,2010.0,Australia
5528,2010.0,Australia
5541,1998.0,United States
5542,1994.0,United States
5552,2000.0,United States
5557,1995.0,United States
5558,1998.0,United States
5559,1998.0,United States
5560,1999.0,United States
5561,1999.0,United States
5562,1999.0,United States
5563,1999.0,United States
5564,1999.0,United States
5565,1999.0,United States
5566,1999.0,United States
5567,1999.0,United States
5568,1999.0,United States
5569,1999.0,United States
5570,1999.0,United States
5571,1999.0,United States
5572,1999.0,United States
5573,1999.0,United States
5574,1999.0,United States
5575,1999.0,United States
5576,1999.0,United States
5577,2000.0,United States
5578,2000.0,United States
5579,2000.0,United States
5580,2000.0,United States
5581,2000.0,United States
5582,2000.0,United States
5583,2000.0,United States
5584,2001.0,United States
5585,2001.0,United States
5586,2001.0,United States
5587,2001.0,United States
5588,2001.0,United States
5589,2002.0,United States
5590,2002.0,United States
